No,Product ID,SKU,Product Name,Category,GSM,Size,Printing Type,Sides,Cost Slab Count
152,ml7a0a07zd6ah3wx29yj8i5o,KC41,ABS PATTA MEENA DIGITAL KEYCHAIN,KEYCHAIN,90,1.5*1,OFFSET,DOUBLE_SIDE,3
153,kvy6501chuk5fok7lalpypss,KC42,ABS PATTA MEENA DIGITAL KEYCHAIN,KEYCHAIN,90,1.5*1,OFFSET,DOUBLE_SIDE,3
154,ni3udi1vn163kvfpgndlmam8,KC43,ABS PATTA MEENA DIGITAL KEYCHAIN,KEYCHAIN,90,1.5*1,OFFSET,DOUBLE_SIDE,3
155,s0ghk2u9zv7npvzq2m8h7no0,KC44,ABS PATTA MEENA DIGITAL KEYCHAIN,KEYCHAIN,90,1.5*1,OFFSET,DOUBLE_SIDE,3
156,t1qct5s8xvbtpqilsv6w4jna,KC45,ABS PATTA MEENA DIGITAL KEYCHAIN,KEYCHAIN,90,1.5*1,OFFSET,DOUBLE_SIDE,3
157,hrm4veupzdc0i5ew0cw44tva,KC46,ABS PATTA MEENA DIGITAL KEYCHAIN,KEYCHAIN,90,1.5*1,OFFSET,DOUBLE_SIDE,3
158,kl7b2061nis9h8o6r4ie3a94,KC47,ABS PATTA MEENA DIGITAL KEYCHAIN,KEYCHAIN,90,1.5*1,OFFSET,DOUBLE_SIDE,3
159,walptq6mou173tac60nlyftw,KC48,ABS PATTA MEENA DIGITAL KEYCHAIN,KEYCHAIN,90,1.5*1,OFFSET,DOUBLE_SIDE,3
160,ttpmnqemb4jdxaxzfd9c10eh,KC30,ABS PATTA MEENA KEYCHAIN,KEYCHAIN,90,1.5*1,OFFSET,DOUBLE_SIDE,3
161,mofbsnvz6navjam75yfj6xao,KC31,ABS PATTA MEENA KEYCHAIN,KEYCHAIN,90,1.5*1,OFFSET,DOUBLE_SIDE,3
162,nxu3vy1aeuf98lnea52cs0tc,KC32,ABS PATTA MEENA KEYCHAIN,KEYCHAIN,90,1.5*1,OFFSET,DOUBLE_SIDE,3
163,s5tvawuslmo6ww6ppihlzwmz,KC33,ABS PATTA MEENA KEYCHAIN,KEYCHAIN,90,1.5*1,OFFSET,DOUBLE_SIDE,3
164,yyt9febz3v1zk3z3jnjr23vj,KC34,ABS PATTA MEENA KEYCHAIN,KEYCHAIN,90,1.5*1,OFFSET,DOUBLE_SIDE,3
165,ambjelxvnu5zf3xlhjjizj94,KC35,ABS PATTA MEENA KEYCHAIN,KEYCHAIN,90,1.5*1,OFFSET,DOUBLE_SIDE,3
166,rm6izbhkgzkppkxh69p3ykd1,KC36,ABS PATTA MEENA KEYCHAIN,KEYCHAIN,90,1.5*1,OFFSET,DOUBLE_SIDE,3
167,btwcyhgdflr581t6udz6z26v,KC229,ACRYLLIC KEYCHAIN,KEYCHAIN,90,1.5*1,OFFSET,DOUBLE_SIDE,3
168,fzty40h721ofh0r8puf9wgp3,KC230,ACRYLLIC KEYCHAIN,KEYCHAIN,90,1.5*1,OFFSET,DOUBLE_SIDE,3
169,p2grvaol2ucz9cx2v8ujz7pc,KC231,ACRYLLIC KEYCHAIN,KEYCHAIN,90,1.5*1,OFFSET,DOUBLE_SIDE,3
170,jwhxvf0jigtkr4a02vu88lc6,KC232,ACRYLLIC KEYCHAIN,KEYCHAIN,90,1.5*1,OFFSET,DOUBLE_SIDE,3
171,n0u1m09zr393wo7gyt0mmkme,KC233,ACRYLLIC KEYCHAIN,KEYCHAIN,90,1.5*1,OFFSET,DOUBLE_SIDE,3
